"pos","lat","lon","alt","time","speed","bearing","acc","heartRate","cadence","temperature","strides","speed_sensor","custom_coords"
"273","46.740418","-121.883195","679","2023-11-24T09:33:16.397-0800","17.11","97","10.10","","","","","",""
"274","46.740376","-121.882748","680","2023-11-24T09:33:18.397-0800","17.53","100","10.08","","","","","",""
"275","46.740300","-121.882301","681","2023-11-24T09:33:20.398-0800","17.20","109","10.07","","","","","",""
"276","46.740064","-121.881742","681","2023-11-24T09:33:23.397-0800","16.57","133","10.11","","","","","",""
"277","46.739852","-121.881458","683","2023-11-24T09:33:25.397-0800","16.10","135","7.65","","","","","",""
"278","46.739656","-121.881153","683","2023-11-24T09:33:27.397-0800","15.74","130","6.00","","","","","",""
"279","46.739489","-121.880819","684","2023-11-24T09:33:29.398-0800","15.53","123","3.91","","","","","",""
"280","46.739348","-121.880446","685","2023-11-24T09:33:31.398-0800","15.92","116","3.91","","","","","",""
"281","46.739170","-121.879863","686","2023-11-24T09:33:34.397-0800","16.53","113","4.22","","","","","",""
"282","46.739054","-121.879453","686","2023-11-24T09:33:36.397-0800","16.86","111","4.87","","","","","",""
"283","46.738893","-121.878852","687","2023-11-24T09:33:39.397-0800","16.01","115","5.95","","","","","",""
"284","46.738718","-121.878518","687","2023-11-24T09:33:41.398-0800","16.62","136","6.39","","","","","",""
"285","46.738455","-121.878292","688","2023-11-24T09:33:43.398-0800","16.74","158","5.99","","","","","",""
"286","46.738033","-121.878085","689","2023-11-24T09:33:46.397-0800","16.82","160","4.99","","","","","",""
"287","46.737750","-121.877912","690","2023-11-24T09:33:48.398-0800","17.03","154","5.08","","","","","",""
"288","46.737319","-121.877587","691","2023-11-24T09:33:51.397-0800","17.54","152","5.57","","","","","",""
"289","46.737042","-121.877371","692","2023-11-24T09:33:53.397-0800","17.59","151","5.68","","","","","",""
"290","46.736621","-121.877031","693","2023-11-24T09:33:56.397-0800","18.01","151","5.99","","","","","",""
"291","46.736191","-121.876683","694","2023-11-24T09:33:59.398-0800","18.34","150","6.27","","","","","",""
"292","46.735786","-121.876306","695","2023-11-24T09:34:02.396-0800","17.90","145","5.82","","","","","",""
"293","46.735528","-121.876014","696","2023-11-24T09:34:04.398-0800","18.20","139","5.52","","","","","",""
"294","46.735288","-121.875677","696","2023-11-24T09:34:06.398-0800","18.59","133","5.42","","","","","",""
"295","46.734973","-121.875118","696","2023-11-24T09:34:09.398-0800","18.58","125","5.29","","","","","",""
"296","46.734697","-121.874532","698","2023-11-24T09:34:12.398-0800","17.76","122","5.24","","","","","",""
"297","46.734529","-121.874147","698","2023-11-24T09:34:14.398-0800","17.70","122","4.97","","","","","",""
"298","46.734285","-121.873556","699","2023-11-24T09:34:17.398-0800","17.38","118","4.54","","","","","",""
"299","46.734105","-121.872929","701","2023-11-24T09:34:20.397-0800","16.70","108","4.34","","","","","",""
"300","46.734017","-121.872524","702","2023-11-24T09:34:22.398-0800","16.38","109","4.24","","","","","",""
"301","46.733869","-121.871935","704","2023-11-24T09:34:25.397-0800","15.62","102","4.07","","","","","",""
"302","46.733852","-121.871523","705","2023-11-24T09:34:27.398-0800","15.23","84","5.24","","","","","",""
"303","46.733968","-121.870958","707","2023-11-24T09:34:30.398-0800","14.75","67","8.94","","","","","",""
"304","46.734190","-121.870478","709","2023-11-24T09:34:33.396-0800","14.53","46","10.27","","","","","",""
"305","46.734382","-121.870214","709","2023-11-24T09:34:35.398-0800","14.64","46","10.33","","","","","",""
"306","46.734558","-121.869899","709","2023-11-24T09:34:37.398-0800","15.25","57","10.34","","","","","",""
"307","46.734679","-121.869542","710","2023-11-24T09:34:39.398-0800","15.21","65","10.57","","","","","",""
"308","46.734855","-121.868971","712","2023-11-24T09:34:42.397-0800","16.47","65","10.88","","","","","",""
"309","46.734974","-121.868561","712","2023-11-24T09:34:44.398-0800","16.88","71","10.91","","","","","",""
"310","46.735090","-121.867908","713","2023-11-24T09:34:47.398-0800","17.19","77","10.74","","","","","",""
"311","46.735193","-121.867239","714","2023-11-24T09:34:50.397-0800","17.33","76","10.69","","","","","",""
"312","46.735274","-121.866800","715","2023-11-24T09:34:52.397-0800","16.94","71","10.54","","","","","",""
"313","46.735398","-121.866402","716","2023-11-24T09:34:54.398-0800","16.80","61","10.31","","","","","",""
"314","46.735549","-121.866014","716","2023-11-24T09:34:56.398-0800","16.90","65","10.35","","","","","",""
"315","46.735684","-121.865384","718","2023-11-24T09:34:59.397-0800","16.57","73","10.44","","","","","",""
"316","46.735766","-121.864969","719","2023-11-24T09:35:01.398-0800","16.50","73","10.48","","","","","",""
"317","46.735832","-121.864549","719","2023-11-24T09:35:03.398-0800","16.52","83","10.52","","","","","",""
"318","46.735820","-121.864116","719","2023-11-24T09:35:05.398-0800","16.50","96","10.52","","","","","",""
"319","46.735784","-121.863684","720","2023-11-24T09:35:07.398-0800","16.30","94","10.42","","","","","",""
"320","46.735766","-121.863256","721","2023-11-24T09:35:09.398-0800","16.30","93","10.28","","","","","",""
"321","46.735745","-121.862820","722","2023-11-24T09:35:11.398-0800","16.73","93","10.08","","","","","",""
"322","46.735729","-121.862380","723","2023-11-24T09:35:13.398-0800","16.79","93","10.07","","","","","",""
"323","46.735712","-121.861937","725","2023-11-24T09:35:15.398-0800","16.71","93","10.03","","","","","",""
"324","46.735678","-121.861287","726","2023-11-24T09:35:18.396-0800","16.64","92","9.98","","","","","",""
"325","46.735689","-121.860850","727","2023-11-24T09:35:20.398-0800","16.56","83","9.99","","","","","",""
"326","46.735757","-121.860425","728","2023-11-24T09:35:22.398-0800","16.39","73","9.99","","","","","",""
"327","46.735902","-121.859824","731","2023-11-24T09:35:25.397-0800","15.99","71","9.98","","","","","",""
"328","46.735995","-121.859434","732","2023-11-24T09:35:27.398-0800","15.52","71","9.97","","","","","",""
"329","46.736084","-121.859056","734","2023-11-24T09:35:29.398-0800","15.47","71","9.96","","","","","",""
"330","46.736174","-121.858670","736","2023-11-24T09:35:31.398-0800","15.50","71","9.96","","","","","",""
"331","46.736264","-121.858287","738","2023-11-24T09:35:33.398-0800","15.71","71","9.96","","","","","",""
"332","46.736385","-121.857684","740","2023-11-24T09:35:36.397-0800","16.34","79","9.96","","","","","",""
"333","46.736401","-121.857256","742","2023-11-24T09:35:38.397-0800","16.36","94","9.96","","","","","",""
"334","46.736346","-121.856830","743","2023-11-24T09:35:40.397-0800","16.60","104","9.95","","","","","",""
"335","46.736261","-121.856408","743","2023-11-24T09:35:42.398-0800","17.23","106","9.95","","","","","",""
"336","46.736168","-121.855967","744","2023-11-24T09:35:44.398-0800","17.73","106","8.74","","","","","",""
"337","46.736076","-121.855512","745","2023-11-24T09:35:46.398-0800","18.24","106","6.93","","","","","",""
"338","46.735935","-121.854813","745","2023-11-24T09:35:49.396-0800","19.00","106","3.90","","","","","",""
"339","46.735831","-121.854327","745","2023-11-24T09:35:51.398-0800","19.29","107","3.90","","","","","",""
"340","46.735665","-121.853599","745","2023-11-24T09:35:54.397-0800","19.69","108","3.90","","","","","",""
"341","46.735547","-121.853109","746","2023-11-24T09:35:56.398-0800","19.89","108","3.90","","","","","",""
"342","46.735419","-121.852346","745","2023-11-24T09:35:59.398-0800","20.00","99","3.90","","","","","",""
"343","46.735363","-121.851566","744","2023-11-24T09:36:02.398-0800","20.00","93","3.90","","","","","",""
"344","46.735343","-121.850780","743","2023-11-24T09:36:05.397-0800","20.32","92","3.90","","","","","",""
"345","46.735284","-121.849978","741","2023-11-24T09:36:08.398-0800","20.48","103","3.90","","","","","",""
"346","46.735083","-121.849267","740","2023-11-24T09:36:11.396-0800","18.91","115","4.14","","","","","",""
"347","46.734945","-121.848835","741","2023-11-24T09:36:13.398-0800","18.10","113","4.37","","","","","",""
"348","46.734790","-121.848187","741","2023-11-24T09:36:16.396-0800","16.96","102","4.54","","","","","",""
"349","46.734740","-121.847748","741","2023-11-24T09:36:18.396-0800","16.98","98","4.40","","","","","",""
"350","46.734724","-121.847305","742","2023-11-24T09:36:20.398-0800","16.76","88","4.34","","","","","",""
"351","46.734772","-121.846881","742","2023-11-24T09:36:22.398-0800","16.56","76","4.40","","","","","",""
"352","46.734844","-121.846240","744","2023-11-24T09:36:25.397-0800","16.77","89","4.63","","","","","",""
"353","46.734808","-121.845808","744","2023-11-24T09:36:27.398-0800","16.43","100","4.47","","","","","",""
"354","46.734741","-121.845176","745","2023-11-24T09:36:30.398-0800","16.54","96","4.24","","","","","",""
"355","46.734728","-121.844739","745","2023-11-24T09:36:32.398-0800","16.30","85","4.30","","","","","",""
"356","46.734853","-121.844118","746","2023-11-24T09:36:35.397-0800","16.50","70","4.36","","","","","",""
"357","46.734939","-121.843704","747","2023-11-24T09:36:37.398-0800","16.73","78","4.38","","","","","",""
"358","46.734925","-121.843063","748","2023-11-24T09:36:40.397-0800","16.07","103","4.39","","","","","",""
"359","46.734858","-121.842666","749","2023-11-24T09:36:42.397-0800","15.41","98","4.51","","","","","",""
"360","46.734866","-121.842273","750","2023-11-24T09:36:44.397-0800","14.78","84","4.63","","","","","",""
"361","46.734896","-121.841890","751","2023-11-24T09:36:46.398-0800","14.97","84","5.81","","","","","",""
"362","46.734885","-121.841288","752","2023-11-24T09:36:49.397-0800","15.39","102","8.38","","","","","",""
"363","46.734807","-121.840900","752","2023-11-24T09:36:51.397-0800","15.23","107","10.31","","","","","",""
"364","46.734724","-121.840520","753","2023-11-24T09:36:53.398-0800","15.50","107","10.30","","","","","",""
"365","46.734602","-121.839934","754","2023-11-24T09:36:56.396-0800","15.82","108","10.28","","","","","",""
"366","46.734488","-121.839548","755","2023-11-24T09:36:58.397-0800","16.06","118","10.30","","","","","",""
"367","46.734333","-121.839196","755","2023-11-24T09:37:00.398-0800","15.90","123","10.23","","","","","",""
"368","46.734179","-121.838855","756","2023-11-24T09:37:02.398-0800","15.20","121","10.21","","","","","",""
"369","46.733904","-121.838455","757","2023-11-24T09:37:05.398-0800","14.64","155","10.24","","","","","",""
"370","46.733500","-121.838377","759","2023-11-24T09:37:08.396-0800","15.23","179","10.41","","","","","",""
"371","46.733224","-121.838396","760","2023-11-24T09:37:10.398-0800","15.24","180","10.55","","","","","",""
"372","46.732823","-121.838325","761","2023-11-24T09:37:13.397-0800","14.81","163","10.57","","","","","",""
"373","46.732561","-121.838192","762","2023-11-24T09:37:15.398-0800","14.96","161","10.49","","","","","",""
"374","46.732281","-121.838048","762","2023-11-24T09:37:17.398-0800","15.46","160","10.37","","","","","",""
"375","46.732019","-121.837898","763","2023-11-24T09:37:19.398-0800","14.37","153","10.31","","","","","",""
"376","46.731810","-121.837681","764","2023-11-24T09:37:21.398-0800","13.96","132","10.19","","","","","",""
"377","46.731619","-121.837163","765","2023-11-24T09:37:24.396-0800","15.23","108","10.11","","","","","",""
"378","46.731551","-121.836762","766","2023-11-24T09:37:26.396-0800","15.77","98","10.06","","","","","",""
"379","46.731541","-121.836334","767","2023-11-24T09:37:28.397-0800","15.87","85","10.00","","","","","",""
"380","46.731609","-121.835926","768","2023-11-24T09:37:30.397-0800","15.84","71","9.99","","","","","",""
"381","46.731703","-121.835312","769","2023-11-24T09:37:33.397-0800","16.47","91","10.02","","","","","",""
"382","46.731653","-121.834892","771","2023-11-24T09:37:35.398-0800","16.31","105","10.05","","","","","",""
"383","46.731530","-121.834504","772","2023-11-24T09:37:37.398-0800","16.78","121","10.10","","","","","",""
"384","46.731329","-121.834156","773","2023-11-24T09:37:39.398-0800","17.23","136","10.17","","","","","",""
"385","46.730924","-121.833820","775","2023-11-24T09:37:42.397-0800","16.47","152","10.20","","","","","",""
"386","46.730685","-121.833600","775","2023-11-24T09:37:44.397-0800","14.50","135","10.19","","","","","",""
"387","46.730551","-121.833293","776","2023-11-24T09:37:46.398-0800","12.88","108","10.22","","","","","",""
"388","46.730533","-121.832930","777","2023-11-24T09:37:48.398-0800","13.15","81","10.34","","","","","",""
"389","46.730738","-121.832431","779","2023-11-24T09:37:51.397-0800","14.34","36","10.55","","","","","",""
"390","46.731151","-121.832256","780","2023-11-24T09:37:54.397-0800","15.24","4","10.43","","","","","",""
"391","46.731443","-121.832249","781","2023-11-24T09:37:56.398-0800","15.89","0","10.19","","","","","",""
"392","46.731734","-121.832250","782","2023-11-24T09:37:58.398-0800","16.18","0","10.13","","","","","",""
"393","46.732045","-121.832214","783","2023-11-24T09:38:00.398-0800","16.96","13","10.18","","","","","",""
"394","46.732484","-121.831938","784","2023-11-24T09:38:03.398-0800","17.68","26","10.14","","","","","",""
"395","46.732905","-121.831629","786","2023-11-24T09:38:06.398-0800","17.09","26","10.07","","","","","",""
"396","46.733189","-121.831445","787","2023-11-24T09:38:08.398-0800","17.04","20","10.06","","","","","",""
"397","46.733485","-121.831349","787","2023-11-24T09:38:10.398-0800","16.00","3","10.05","","","","","",""
"398","46.733882","-121.831475","788","2023-11-24T09:38:13.398-0800","14.39","337","10.08","","","","","",""
"399","46.734130","-121.831606","789","2023-11-24T09:38:15.398-0800","14.50","353","10.18","","","","","",""
"400","46.734379","-121.831550","789","2023-11-24T09:38:17.398-0800","13.70","26","10.38","","","","","",""
"401","46.734656","-121.831190","791","2023-11-24T09:38:20.397-0800","13.35","45","10.79","","","","","",""
"402","46.734901","-121.830792","792","2023-11-24T09:38:23.397-0800","13.73","47","10.64","","","","","",""
"403","46.735072","-121.830532","793","2023-11-24T09:38:25.397-0800","13.85","44","10.32","","","","","",""
"404","46.735268","-121.830296","794","2023-11-24T09:38:27.397-0800","14.15","31","10.18","","","","","",""
"405","46.735512","-121.830171","795","2023-11-24T09:38:29.398-0800","14.25","6","10.11","","","","","",""
"406","46.735905","-121.830230","796","2023-11-24T09:38:32.396-0800","14.30","356","10.23","","","","","",""
"407","46.736163","-121.830183","797","2023-11-24T09:38:34.398-0800","14.59","26","10.49","","","","","",""
"408","46.736426","-121.829774","799","2023-11-24T09:38:37.398-0800","13.35","55","10.79","","","","","",""
"409","46.736647","-121.829376","799","2023-11-24T09:38:40.396-0800","13.29","37","10.72","","","","","",""
"410","46.736860","-121.829198","800","2023-11-24T09:38:42.398-0800","13.56","25","10.69","","","","","",""
"411","46.737216","-121.828971","801","2023-11-24T09:38:45.398-0800","14.69","24","10.44","","","","","",""
"412","46.737591","-121.828708","803","2023-11-24T09:38:48.398-0800","15.70","26","10.06","","","","","",""
"413","46.737850","-121.828507","803","2023-11-24T09:38:50.398-0800","16.39","29","10.06","","","","","",""
"414","46.738222","-121.828148","805","2023-11-24T09:38:53.397-0800","16.84","36","10.09","","","","","",""
"415","46.738472","-121.827877","806","2023-11-24T09:38:55.397-0800","17.25","37","10.08","","","","","",""
"416","46.738846","-121.827508","807","2023-11-24T09:38:58.398-0800","16.19","29","10.07","","","","","",""
"417","46.739240","-121.827209","808","2023-11-24T09:39:01.398-0800","16.79","29","10.07","","","","","",""
"418","46.739612","-121.826795","810","2023-11-24T09:39:04.397-0800","17.63","48","10.06","","","","","",""
"419","46.739798","-121.826415","811","2023-11-24T09:39:06.397-0800","17.76","54","10.04","","","","","",""
"420","46.739987","-121.826049","812","2023-11-24T09:39:08.397-0800","17.18","50","10.05","","","","","",""
"421","46.740189","-121.825715","813","2023-11-24T09:39:10.397-0800","17.09","48","10.07","","","","","",""
"422","46.740401","-121.825372","814","2023-11-24T09:39:12.398-0800","17.33","48","10.15","","","","","",""
"423","46.740733","-121.824887","815","2023-11-24T09:39:15.397-0800","17.27","40","10.23","","","","","",""
"424","46.740979","-121.824609","816","2023-11-24T09:39:17.397-0800","17.41","34","10.39","","","","","",""
"425","46.741248","-121.824371","817","2023-11-24T09:39:19.398-0800","17.38","29","10.55","","","","","",""
"426","46.741523","-121.824155","818","2023-11-24T09:39:21.398-0800","17.69","29","10.71","","","","","",""
"427","46.741949","-121.823815","820","2023-11-24T09:39:24.396-0800","18.08","28","10.71","","","","","",""
"428","46.742230","-121.823580","820","2023-11-24T09:39:26.398-0800","18.34","34","10.72","","","","","",""
"429","46.742605","-121.823148","821","2023-11-24T09:39:29.397-0800","17.28","36","10.45","","","","","",""
"430","46.743002","-121.822836","823","2023-11-24T09:39:32.396-0800","16.81","24","10.10","","","","","",""
"431","46.743283","-121.822648","824","2023-11-24T09:39:34.396-0800","17.42","28","10.07","","","","","",""
"432","46.743550","-121.822394","825","2023-11-24T09:39:36.398-0800","17.52","34","10.07","","","","","",""
"433","46.743949","-121.821991","827","2023-11-24T09:39:39.397-0800","18.04","33","10.21","","","","","",""
"434","46.744234","-121.821718","828","2023-11-24T09:39:41.398-0800","18.51","34","10.31","","","","","",""
"435","46.744516","-121.821448","829","2023-11-24T09:39:43.398-0800","18.24","30","10.34","","","","","",""
"436","46.744950","-121.821128","831","2023-11-24T09:39:46.398-0800","17.25","25","10.40","","","","","",""
"437","46.745359","-121.820842","832","2023-11-24T09:39:49.396-0800","16.30","27","10.31","","","","","",""
"438","46.745612","-121.820619","833","2023-11-24T09:39:51.398-0800","16.52","36","10.18","","","","","",""
"439","46.745843","-121.820333","833","2023-11-24T09:39:53.398-0800","16.98","43","10.14","","","","","",""
"440","46.746077","-121.820035","834","2023-11-24T09:39:55.398-0800","16.95","38","10.09","","","","","",""
"441","46.746448","-121.819638","835","2023-11-24T09:39:58.398-0800","17.05","35","10.03","","","","","",""
"442","46.746823","-121.819250","836","2023-11-24T09:40:01.397-0800","16.89","36","10.03","","","","","",""
"443","46.747065","-121.818976","837","2023-11-24T09:40:03.398-0800","16.98","38","10.03","","","","","",""
"444","46.747421","-121.818551","837","2023-11-24T09:40:06.397-0800","17.40","37","10.07","","","","","",""
"445","46.747681","-121.818285","838","2023-11-24T09:40:08.398-0800","17.65","32","10.09","","","","","",""
"446","46.748103","-121.817923","839","2023-11-24T09:40:11.398-0800","18.48","31","10.18","","","","","",""
"447","46.748514","-121.817505","839","2023-11-24T09:40:14.398-0800","18.47","37","10.37","","","","","",""
"448","46.748777","-121.817210","839","2023-11-24T09:40:16.398-0800","18.41","36","10.51","","","","","",""
"449","46.749189","-121.816804","839","2023-11-24T09:40:19.398-0800","18.18","35","10.61","","","","","",""
"450","46.749424","-121.816490","839","2023-11-24T09:40:21.398-0800","17.44","53","10.61","","","","","",""
"451","46.749544","-121.815873","839","2023-11-24T09:40:24.398-0800","15.32","86","10.47","","","","","",""
"452","46.749534","-121.815298","840","2023-11-24T09:40:27.396-0800","14.39","89","10.29","","","","","",""
"453","46.749542","-121.814928","841","2023-11-24T09:40:29.398-0800","13.86","89","10.10","","","","","",""
"454","46.749548","-121.814570","841","2023-11-24T09:40:31.398-0800","13.40","88","9.99","","","","","",""
"455","46.749580","-121.814031","843","2023-11-24T09:40:34.398-0800","14.08","80","9.95","","","","","",""
"456","46.749651","-121.813679","844","2023-11-24T09:40:36.398-0800","13.96","68","9.95","","","","","",""
"457","46.749848","-121.813200","846","2023-11-24T09:40:39.397-0800","14.31","51","9.95","","","","","",""
"458","46.750031","-121.812935","847","2023-11-24T09:40:41.397-0800","14.28","40","9.95","","","","","",""
"459","46.750248","-121.812730","848","2023-11-24T09:40:43.398-0800","14.25","26","9.95","","","","","",""
"460","46.750612","-121.812508","850","2023-11-24T09:40:46.398-0800","15.11","23","9.96","","","","","",""
"461","46.750865","-121.812351","851","2023-11-24T09:40:48.398-0800","15.17","23","9.97","","","","","",""
"462","46.751259","-121.812213","853","2023-11-24T09:40:51.397-0800","14.99","2","6.33","","","","","",""
"463","46.751532","-121.812251","855","2023-11-24T09:40:53.398-0800","15.33","353","4.91","","","","","",""
"464","46.751952","-121.812182","856","2023-11-24T09:40:56.397-0800","16.26","19","3.91","","","","","",""
"465","46.752212","-121.811988","858","2023-11-24T09:40:58.397-0800","16.59","29","3.91","","","","","",""
"466","46.752471","-121.811770","860","2023-11-24T09:41:00.397-0800","16.67","29","3.90","","","","","",""
"467","46.752724","-121.811560","862","2023-11-24T09:41:02.398-0800","15.63","29","3.90","","","","","",""
"468","46.752974","-121.811422","863","2023-11-24T09:41:04.398-0800","14.10","10","3.90","","","","","",""
"469","46.753292","-121.811596","866","2023-11-24T09:41:07.397-0800","12.55","314","4.26","","","","","",""
"470","46.753391","-121.811930","867","2023-11-24T09:41:09.397-0800","13.64","280","4.63","","","","","",""
"471","46.753393","-121.812319","868","2023-11-24T09:41:11.397-0800","14.28","262","4.85","","","","","",""
"472","46.753374","-121.812674","869","2023-11-24T09:41:13.397-0800","13.06","273","4.77","","","","","",""
"473","46.753466","-121.812968","870","2023-11-24T09:41:15.398-0800","11.84","313","4.89","","","","","",""
"474","46.753658","-121.813082","871","2023-11-24T09:41:17.398-0800","11.09","351","5.18","","","","","",""
"475","46.753915","-121.812915","872","2023-11-24T09:41:20.397-0800","10.40","51","5.60","","","","","",""
"476","46.753978","-121.812643","873","2023-11-24T09:41:22.397-0800","10.99","83","5.44","","","","","",""
"477","46.753957","-121.812338","874","2023-11-24T09:41:24.397-0800","11.81","100","4.69","","","","","",""
"478","46.753934","-121.812028","875","2023-11-24T09:41:26.397-0800","12.53","93","4.28","","","","","",""
"479","46.753975","-121.811684","876","2023-11-24T09:41:28.397-0800","13.60","72","3.93","","","","","",""
"480","46.754076","-121.811344","877","2023-11-24T09:41:30.397-0800","13.90","67","3.94","","","","","",""
"481","46.754133","-121.811001","879","2023-11-24T09:41:32.397-0800","13.14","88","4.07","","","","","",""
"482","46.754068","-121.810708","880","2023-11-24T09:41:34.398-0800","11.64","125","4.18","","","","","",""
"483","46.753887","-121.810562","881","2023-11-24T09:41:36.398-0800","11.61","170","4.46","","","","","",""
"484","46.753677","-121.810593","883","2023-11-24T09:41:38.398-0800","11.87","188","4.76","","","","","",""
"485","46.753475","-121.810606","884","2023-11-24T09:41:40.398-0800","11.41","176","5.40","","","","","",""
"486","46.753159","-121.810413","887","2023-11-24T09:41:43.398-0800","12.79","141","5.77","","","","","",""
"487","46.752966","-121.810120","888","2023-11-24T09:41:45.398-0800","14.80","127","5.61","","","","","",""
"488","46.752816","-121.809754","890","2023-11-24T09:41:47.398-0800","15.89","114","5.40","","","","","",""
"489","46.752720","-121.809130","892","2023-11-24T09:41:50.397-0800","16.07","92","5.21","","","","","",""
"490","46.752768","-121.808723","893","2023-11-24T09:41:52.398-0800","15.72","65","7.27","","","","","",""
"491","46.753036","-121.808202","895","2023-11-24T09:41:55.398-0800","16.70","53","10.55","","","","","",""
"492","46.753311","-121.807669","897","2023-11-24T09:41:58.397-0800","17.07","55","10.58","","","","","",""
"493","46.753494","-121.807309","899","2023-11-24T09:42:00.398-0800","16.76","50","10.56","","","","","",""
"494","46.753855","-121.806929","901","2023-11-24T09:42:03.397-0800","16.45","21","10.78","","","","","",""
"495","46.754149","-121.806814","902","2023-11-24T09:42:05.397-0800","16.94","14","10.78","","","","","",""
"496","46.754447","-121.806708","903","2023-11-24T09:42:07.397-0800","17.34","16","10.65","","","","","",""
"497","46.754883","-121.806468","905","2023-11-24T09:42:10.397-0800","17.59","23","10.41","","","","","",""
"498","46.755171","-121.806293","907","2023-11-24T09:42:12.397-0800","17.20","20","10.19","","","","","",""
"499","46.755455","-121.806158","909","2023-11-24T09:42:14.398-0800","16.71","14","10.09","","","","","",""
"500","46.755902","-121.806065","911","2023-11-24T09:42:17.396-0800","16.94","9","10.18","","","","","",""
"501","46.756209","-121.805961","912","2023-11-24T09:42:19.398-0800","17.16","17","10.22","","","","","",""
"502","46.756622","-121.805710","914","2023-11-24T09:42:22.397-0800","16.18","20","10.10","","","","","",""
"503","46.756904","-121.805635","915","2023-11-24T09:42:24.397-0800","15.84","0","10.12","","","","","",""
"504","46.757196","-121.805671","916","2023-11-24T09:42:26.398-0800","16.24","356","10.12","","","","","",""
"505","46.757653","-121.805664","918","2023-11-24T09:42:29.397-0800","16.97","8","10.05","","","","","",""
"506","46.757961","-121.805578","920","2023-11-24T09:42:31.398-0800","17.20","11","10.02","","","","","",""
"507","46.758432","-121.805476","922","2023-11-24T09:42:34.396-0800","17.49","4","10.01","","","","","",""
"508","46.758750","-121.805456","924","2023-11-24T09:42:36.398-0800","17.57","2","10.04","","","","","",""
"509","46.759070","-121.805433","925","2023-11-24T09:42:38.398-0800","17.70","6","10.04","","","","","",""
"510","46.759540","-121.805278","927","2023-11-24T09:42:41.397-0800","17.84","18","10.03","","","","","",""
"511","46.759849","-121.805098","929","2023-11-24T09:42:43.397-0800","18.08","23","10.09","","","","","",""
"512","46.760137","-121.804879","931","2023-11-24T09:42:45.397-0800","18.08","30","10.17","","","","","",""
"513","46.760544","-121.804473","933","2023-11-24T09:42:48.396-0800","18.15","34","10.23","","","","","",""
"514","46.760811","-121.804201","934","2023-11-24T09:42:50.397-0800","17.91","34","10.26","","","","","",""
"515","46.761078","-121.803937","935","2023-11-24T09:42:52.397-0800","17.85","33","10.31","","","","","",""
"516","46.761346","-121.803681","936","2023-11-24T09:42:54.398-0800","17.88","34","10.27","","","","","",""
"517","46.761744","-121.803255","939","2023-11-24T09:42:57.397-0800","18.42","40","10.32","","","","","",""
"518","46.761985","-121.802908","940","2023-11-24T09:42:59.397-0800","18.44","49","10.42","","","","","",""
"519","46.762180","-121.802517","941","2023-11-24T09:43:01.397-0800","18.41","56","10.38","","","","","",""
"520","46.762368","-121.802116","943","2023-11-24T09:43:03.397-0800","18.25","54","10.24","","","","","",""
"521","46.762576","-121.801756","945","2023-11-24T09:43:05.398-0800","17.70","46","10.01","","","","","",""
"522","46.762816","-121.801441","946","2023-11-24T09:43:07.398-0800","17.57","40","10.01","","","","","",""
"523","46.763188","-121.801026","949","2023-11-24T09:43:10.398-0800","17.32","38","10.22","","","","","",""
"524","46.763506","-121.800553","950","2023-11-24T09:43:13.397-0800","16.33","62","10.65","","","","","",""
"525","46.763552","-121.800132","951","2023-11-24T09:43:15.398-0800","16.18","96","10.96","","","","","",""
"526","46.763463","-121.799720","951","2023-11-24T09:43:17.398-0800","16.22","107","11.05","","","","","",""
"527","46.763377","-121.799121","953","2023-11-24T09:43:20.396-0800","14.90","88","10.94","","","","","",""
"528","46.763429","-121.798729","954","2023-11-24T09:43:22.397-0800","15.47","72","10.71","","","","","",""
"529","46.763557","-121.798348","955","2023-11-24T09:43:24.398-0800","16.37","61","10.66","","","","","",""
"530","46.763718","-121.797975","956","2023-11-24T09:43:26.398-0800","17.20","59","10.77","","","","","",""
"531","46.763976","-121.797391","959","2023-11-24T09:43:29.398-0800","17.54","57","10.65","","","","","",""
"532","46.764238","-121.796805","962","2023-11-24T09:43:32.397-0800","17.64","57","10.11","","","","","",""
"533","46.764489","-121.796221","964","2023-11-24T09:43:35.397-0800","17.48","59","9.98","","","","","",""
"534","46.764626","-121.795815","966","2023-11-24T09:43:37.398-0800","17.22","70","10.05","","","","","",""
"535","46.764731","-121.795165","968","2023-11-24T09:43:40.398-0800","16.81","77","10.10","","","","","",""
"536","46.764800","-121.794739","970","2023-11-24T09:43:42.398-0800","16.95","73","10.13","","","","","",""
"537","46.764910","-121.794320","972","2023-11-24T09:43:44.398-0800","17.06","62","10.32","","","","","",""
"538","46.765086","-121.793942","973","2023-11-24T09:43:46.398-0800","17.47","52","10.47","","","","","",""
"539","46.765437","-121.793457","975","2023-11-24T09:43:49.397-0800","17.98","38","10.57","","","","","",""
"540","46.765706","-121.793178","976","2023-11-24T09:43:51.397-0800","18.36","36","10.78","","","","","",""
"541","46.765971","-121.792895","978","2023-11-24T09:43:53.397-0800","18.02","37","10.95","","","","","",""
"542","46.766227","-121.792601","979","2023-11-24T09:43:55.398-0800","17.89","41","10.99","","","","","",""
"543","46.766497","-121.792060","982","2023-11-24T09:43:58.398-0800","16.65","73","10.85","","","","","",""
"544","46.766516","-121.791638","983","2023-11-24T09:44:00.398-0800","15.00","89","10.73","","","","","",""
"545","46.766533","-121.791261","984","2023-11-24T09:44:02.398-0800","13.69","75","10.54","","","","","",""
